GEOID,jobs_total,jobs_low_wage,jobs_medium_wage,jobs_high_wage,resident_workers_total,resident_workers_low_wage,resident_workers_medium_wage,resident_workers_high_wage
31055000200,1131,183,263,685,1602,337,566,699
31055000300,91,28,37,26,1050,267,434,349
31055000400,2288,139,414,1735,644,135,236,273
31055000500,8632,1453,2051,5128,1123,257,284,582
31055000600,115,43,41,31,519,161,228,130
31055000700,146,39,50,57,468,141,190,137
31055000800,278,31,68,179,936,232,381,323
31055001100,794,151,297,346,1087,321,453,313
31055001200,1126,141,327,658,1299,370,491,438
31055001600,8432,1751,1144,5537,628,184,151,293
31055001800,19246,2409,3159,13678,2205,384,521,1300
31055001900,1120,175,207,738,780,169,255,356
31055002000,1794,353,437,1004,1303,291,483,529
31055002100,460,108,117,235,979,247,312,420
31055002200,204,59,64,81,684,132,191,361
31055002300,387,90,159,138,883,171,302,410
31055002400,419,164,169,86,1455,298,527,630
31055002500,832,243,272,317,1105,243,360,502
31055002600,200,70,92,38,938,174,334,430
31055002700,410,118,170,122,960,205,338,417
31055002800,112,23,45,44,1379,244,479,656
31055002900,2718,591,727,1400,1917,440,705,772
31055003000,174,36,88,50,3375,632,1104,1639
31055003100,6906,886,1408,4612,1747,387,610,750
31055003200,962,177,316,469,843,186,289,368
31055003300,617,166,173,278,882,177,300,405
31055003401,583,120,222,241,1785,330,505,950
31055003402,206,65,81,60,1365,247,316,802
31055003500,721,165,266,290,2303,410,637,1256
31055003600,1000,325,242,433,2195,367,522,1306
31055003700,353,114,105,134,1337,242,265,830
31055003800,2895,131,360,2404,1524,318,421,785
31055003900,270,58,131,81,934,223,315,396
31055004000,3250,710,865,1675,1450,328,398,724
31055004200,4873,201,581,4091,759,177,247,335
31055004300,2365,465,834,1066,1408,258,357,793
31055004400,11535,1091,1716,8728,776,118,223,435
31055004500,409,95,109,205,1659,292,345,1022
31055004600,819,253,236,330,1223,232,224,767
31055004700,3328,803,511,2014,1109,190,185,734
31055004800,968,258,276,434,2134,390,604,1140
31055004900,1486,403,505,578,2073,456,655,962
31055005000,613,144,239,230,1714,391,558,765
31055005100,7566,696,1927,4943,1059,255,374,430
31055005200,138,69,40,29,672,159,274,239
31055005300,223,40,64,119,975,273,393,309
31055005400,256,64,96,96,1459,358,568,533
31055005500,295,103,110,82,2768,452,659,1657
31055005600,1566,480,630,456,1978,393,575,1010
31055005700,626,175,255,196,2226,441,727,1058
31055005800,260,44,105,111,2042,445,664,933
31055005901,55,8,18,29,1040,258,430,352
31055005902,255,62,103,90,1004,267,433,304
31055006000,202,69,91,42,1631,433,642,556
31055006101,130,42,46,42,1132,265,457,410
31055006102,1213,394,269,550,1792,455,668,669
31055006202,683,261,282,140,2154,442,749,963
31055006301,325,90,117,118,1202,256,414,532
31055006302,886,236,458,192,1957,404,734,819
31055006303,254,75,100,79,1459,303,503,653
31055006400,1001,395,340,266,2445,463,667,1315
31055006503,687,228,298,161,1328,241,327,760
31055006504,1777,471,628,678,1757,338,468,951
31055006505,1972,412,503,1057,745,146,209,390
31055006506,725,137,267,321,1629,383,578,668
31055006603,712,157,273,282,1293,298,474,521
31055006604,1030,239,329,462,2101,401,568,1132
31055006605,3916,338,812,2766,1576,240,469,867
31055006606,2310,671,612,1027,1516,308,451,757
31055006701,15523,2526,3905,9092,1812,280,426,1106
31055006703,6389,693,1091,4605,1525,285,399,841
31055006704,4873,644,1145,3084,856,163,139,554
31055006803,2763,731,945,1087,1107,230,250,627
31055006804,466,125,159,182,848,149,113,586
31055006805,2809,549,696,1564,1588,289,261,1038
31055006806,5842,827,1523,3492,1184,207,344,633
31055006903,380,91,93,196,1434,302,329,803
31055006904,850,267,258,325,2097,326,439,1332
31055006905,2839,731,806,1302,1109,217,319,573
31055006906,1096,253,385,458,1652,289,433,930
31055007001,11068,1349,2290,7429,2166,463,560,1143
31055007002,291,94,99,98,1803,348,491,964
31055007003,6197,835,1760,3602,1246,272,404,570
31055007101,1719,366,585,768,1567,302,462,803
31055007102,879,108,281,490,1746,306,535,905
31055007303,446,83,111,252,1506,242,306,958
31055007304,1052,148,374,530,781,149,172,460
31055007309,106,18,46,42,2351,385,605,1361
31055007310,420,245,98,77,1578,290,406,882
31055007311,858,227,259,372,1654,398,476,780
31055007312,2929,639,968,1322,1162,257,415,490
31055007314,209,52,74,83,2636,446,462,1728
31055007315,811,229,196,386,2950,428,562,1960
31055007316,212,47,87,78,2331,359,388,1584
31055007317,1277,172,399,706,2617,445,563,1609
31055007318,1454,458,315,681,5081,830,747,3504
31055007319,719,88,220,411,2841,515,768,1558
31055007320,1025,299,209,517,1848,322,474,1052
31055007406,1596,500,545,551,2762,518,670,1574
31055007407,1782,325,471,986,1801,323,490,988
31055007408,2061,786,671,604,2297,441,616,1240
31055007409,31029,4444,7558,19027,1413,235,341,837
31055007424,333,108,94,131,1645,301,511,833
31055007429,1840,405,498,937,1629,282,286,1061
31055007431,1245,481,370,394,2455,455,475,1525
31055007432,1041,449,361,231,1715,317,458,940
31055007433,737,208,225,304,2265,440,592,1233
31055007434,563,192,184,187,1711,314,557,840
31055007435,195,39,70,86,1983,393,520,1070
31055007436,1126,280,524,322,2355,462,743,1150
31055007438,521,135,153,233,999,213,221,565
31055007439,4940,638,1242,3060,2712,408,576,1728
31055007440,1633,347,731,555,1347,216,406,725
31055007441,681,47,148,486,1334,213,241,880
31055007442,1274,287,378,609,2599,471,472,1656
31055007443,2350,641,697,1012,1656,315,367,974
31055007444,4818,692,1079,3047,2703,495,822,1386
31055007445,6224,1262,1408,3554,1257,293,338,626
31055007446,189,59,49,81,2225,387,345,1493
31055007447,136,19,61,56,1557,263,379,915
31055007448,2434,457,605,1372,1431,292,255,884
31055007449,5147,1417,1364,2366,1418,257,252,909
31055007450,462,91,95,276,1830,342,411,1077
31055007451,4615,986,1120,2509,2709,491,549,1669
31055007452,1177,587,324,266,2657,502,454,1701
31055007453,172,42,69,61,1808,351,325,1132
31055007454,1974,450,539,985,2290,425,455,1410
31055007455,1140,343,322,475,1113,225,348,540
31055007456,1740,146,326,1268,1286,228,377,681
31055007457,4838,1107,1297,2434,1590,300,473,817
31055007458,221,67,94,60,1581,325,467,789
31055007459,2076,659,588,829,1727,309,485,933
31055007460,575,221,202,152,2340,437,370,1533
31055007461,622,243,214,165,3291,611,566,2114
31055007462,3654,799,911,1944,2529,450,594,1485
31055007463,1564,507,556,501,2402,477,607,1318
31055007464,2021,154,496,1371,1606,269,323,1014
31055007465,953,142,237,574,2414,453,626,1335
31055007466,1285,471,385,429,3071,588,860,1623
31055007467,2904,555,882,1467,2515,450,760,1305
31055007468,616,145,190,281,1282,251,330,701
31055007469,524,146,186,192,2403,384,406,1613
31055007470,1056,354,402,300,3403,530,785,2088
31055007471,1305,710,330,265,1990,380,366,1244
31055007472,1374,509,470,395,2322,376,401,1545
31055007473,3555,243,658,2654,173,30,32,111
31055007474,6855,418,1148,5289,724,114,95,515
31055007504,3817,315,450,3052,1877,344,391,1142
31055007505,570,96,122,352,2506,477,438,1591
31055007506,2159,699,480,980,1852,311,378,1163
31055007508,1036,198,203,635,1432,292,290,850
31055007509,1807,215,262,1330,3674,661,543,2470
31055007514,1073,328,309,436,2010,388,282,1340
31055007515,1896,530,719,647,2638,477,438,1723
31055007516,439,68,110,261,2365,433,393,1539
31055007517,505,162,176,167,3977,628,687,2662
31055007518,2166,625,544,997,2273,425,527,1321
31055007519,4300,569,856,2875,3068,522,481,2065
31055007520,1122,392,436,294,2302,405,351,1546
31055007521,909,206,394,309,2210,366,399,1445
31055007522,510,147,125,238,1036,151,139,746
31055007523,627,81,194,352,1397,237,201,959
31055007524,6411,1628,1475,3308,2167,354,307,1506
